year,treatment,replicate,station,core,section,depth,soil_dwt,cum_soil_dw,c_prct,n_prct,gavel_free_Bd,Comments,Outliers
#,,,,,,cm,kg_m2,kg_m2,%,%,g/cm3,,
2001,1,1,1,1,S,27,246.7157812,246.7157812,0.606566667,0.061966667,,soils re-processed and analyzed in July 2019,
2001,1,1,1,1,M,45,257.4515528,504.1673341,0.3053,0.0463,,soils re-processed and analyzed in May 2019,
2001,1,1,1,1,D,100,742.8904195,1247.057754,0.0962,0.016566667,1.350709854,soils re-processed and analyzed in May 2019,
2001,1,1,2,1,S,22,302.0021343,302.0021343,0.6458848,0.07128135,1.372736974,,
2001,1,1,2,1,M,52,416.5401867,718.5423211,0.1493,0.0137,1.388467289,soils re-processed and analyzed in July 2019,
2001,1,1,2,1,D,100,677.2988739,1395.841195,0.098866667,0.0076,1.411039321,soils re-processed and analyzed in July 2019,
2001,1,1,3,1,S,31,411.2297115,411.2297115,0.709233333,0.074333333,1.326547456,soils re-processed and analyzed in May 2019,
2001,1,1,3,1,M,70,559.6359656,970.8656771,0.249633333,0.039333333,1.434964014,soils re-processed and analyzed in May 2019,
2001,1,1,3,1,D,100,398.3123393,1369.178016,0.074166667,0.015633333,1.327707798,soils re-processed and analyzed in May 2019,
2001,1,1,4,1,S,22,275.7368108,275.7368108,0.664766667,0.061833333,1.25334914,soils re-processed and analyzed in July 2019,
2001,1,1,4,1,M,58,370.8700996,646.6069105,0.253,0.027466667,1.42642346,soils re-processed and analyzed in July 2019,
2001,1,1,4,1,D,99,460.0860837,1106.692994,0.125333333,0.0125,1.12216118,soils re-processed and analyzed in July 2019,
2001,1,1,5,1,S,24,283.8316974,283.8316974,0.770933333,0.077966667,1.182632073,soils re-processed and analyzed in May 2019,
2001,1,1,5,1,M,66,585.2410679,869.0727653,0.2257,0.031766667,1.393431114,soils re-processed and analyzed in May 2019,
2001,1,1,5,1,D,100,493.4129041,1362.485669,0.05445,0.01005,1.451214424,soils re-processed and analyzed in May 2019,
2001,1,2,1,1,S,13,144.0686006,144.0686006,0.8313,0.073,1.108220004,soils re-processed and analyzed in July 2019,
2001,1,2,1,1,M,67,727.853163,871.9217635,0.3961518,0.07235325,1.347876228,,
